"","id","lon","lat","ele","date","sex","age","body","proc"
"427",231,738891.415717872,326531.645288815,226.084137,"2016-03-29","f","juvenil",11.77,0
"428",232,738881.732418199,326519.151264001,228.005707,"2016-03-29","f","old",12.58,0
"429",233,738883.42670523,326515.173162395,222.592606,"2016-03-29","m","juvenil",10.51,1.44
"430",234,738872.77461582,326493.210346229,220.476212,"2016-03-29","m","juvenil",12.57,3.93
"431",235,738871.073799818,326483.062996486,219.089828,"2016-03-29","f","juvenil",11,0
"432",236,738864.783792478,326476.849445609,224.959381,"2016-03-29","m","juvenil",13.46,4.01
"433",237,738893.244477184,326470.389263565,212.986435,"2016-03-29","m","juvenil",12.98,4.04
"434",238,738895.597650227,326496.117864837,216.835159,"2016-03-29","m","juvenil",12.36,3.91
"435",239,738918.805026901,326512.711823328,215.544525,"2016-03-29","m","old",11.24,2.2
"436",240,738995.342835243,326498.758088451,217.922577,"2016-03-29","m","juvenil",12.89,3.97
"437",241,739013.691525691,326493.25574595,221.290283,"2016-03-29","f","old",12.61,0
"438",241,739015.674439672,326499.514650865,216.981964,"2016-05-12","f","old",12.61,0
"439",241,739017.154664815,326494.97718888,219.695999,"2016-05-23","f","old",12.61,0
"440",241,739017.169224764,326498.870227839,212.475708,"2016-04-16","f","old",12.61,0
"441",242,739020.501738547,326494.583611585,217.522919,"2016-03-29","f","juvenil",11.39,0
"442",243,739020.208236743,326494.35666505,218.394257,"2016-03-29","m","old",13.19,4.05
"443",243,739015.345919653,326496.72903165,218.108093,"2016-04-20","m","old",13.19,4.05
"444",244,739020.947237722,326504.266869831,221.266113,"2016-03-29","f","old",11.21,0
"445",244,739017.91242384,326503.664224389,224.411652,"2016-04-20","f","old",11.21,0
"446",245,738915.327549652,326516.773830531,222.008316,"2016-03-29","f","old",12.32,0
"447",245,738919.594583931,326524.179913791,224.260437,"2016-04-07","f","old",12.32,0
"448",246,738853.345301962,326404.379291885,212.610779,"2016-03-30","m","juvenil",13.37,3.78
"449",246,738856.894681908,326405.323394158,210.315903,"2016-04-07","m","juvenil",13.37,3.78
"450",246,738855.261643463,326405.298403304,209.681656,"2016-04-13","m","juvenil",13.37,3.78
"451",247,738852.742961615,326404.926190468,216.588379,"2016-03-30","m","juvenil",12.81,3.67
"452",248,738857.456999168,326426.798080606,215.052734,"2016-04-12","m","old",13.51,4.2
"453",248,738853.294441224,326431.961871565,219.568146,"2016-03-30","m","old",13.51,4.2
"454",249,738860.869973636,326451.2081999,222.849289,"2016-03-30","m","juvenil",13.69,4.27
"455",250,738859.243106217,326455.632231689,223.672592,"2016-03-30","f","old",11.55,0
"456",251,738864.269301326,326476.507901601,224.011017,"2016-03-30","m","juvenil",12.44,3.54
"457",252,738890.112646563,326524.618272284,226.111511,"2016-03-30","m","juvenil",10.57,1.97
"458",253,738897.213284824,326536.071759177,230.400757,"2016-03-30","m","juvenil",12.51,3.61
"459",253,738900.118697972,326545.125330834,223.791779,"2016-04-03","m","juvenil",12.51,3.61
"460",254,738886.429924457,326561.488026152,230.723236,"2016-03-30","m","old",12.73,3.77
"461",254,738885.080219772,326562.357150189,229.496613,"2016-04-13","m","old",12.73,3.77
"462",255,738862.623601223,326584.035625622,236.555206,"2016-03-30","f","juvenil",11.03,0
"463",255,738870.392539708,326580.929057641,235.651306,"2016-04-11","f","juvenil",11.03,0
"464",256,738863.259961929,326581.264782417,235.920105,"2016-03-30","m","juvenil",12.45,3.49
"465",257,738857.286734051,326578.615229279,234.49118,"2016-03-30","f","old",10.53,0
"466",258,738844.17411235,326576.746219599,235.956299,"2016-03-31","f","juvenil",12.39,0
"467",258,738842.808041106,326573.83351083,236.474854,"2016-03-31","f","juvenil",12.39,0
"468",258,738844.876184172,326574.532496569,240.177216,"2016-04-02","f","juvenil",12.39,0
"469",258,738843.831903705,326574.850187175,236.533493,"2016-03-30","f","juvenil",12.39,0
"470",258,738843.595611192,326575.736357897,237.118881,"2016-04-12","f","juvenil",12.39,0
"471",258,738844.624577853,326576.419442606,238.257172,"2016-04-11","f","juvenil",12.39,0
"472",259,738835.170548887,326578.054359667,239.938705,"2016-03-30","m","old",13.54,4.21
"473",259,738836.38816933,326580.964795296,240.520264,"2016-03-30","m","old",13.54,4.21
"474",259,738834.024190741,326585.043888102,242.444077,"2016-04-07","m","old",13.54,4.21
"475",259,738834.717751132,326583.386150097,241.659729,"2016-04-11","m","old",13.54,4.21
"476",259,738835.242442334,326583.060508044,236.198044,"2016-04-12","m","old",13.54,4.21
"477",259,738836.627230037,326584.750045195,237.038635,"2016-04-03","m","old",13.54,4.21
"478",259,738831.884596679,326589.015191582,240.949921,"2016-04-15","m","old",13.54,4.21
"479",261,738830.724189995,326587.217865126,241.214615,"2016-03-30","f","juvenil",11.72,0
"480",261,738821.179565771,326585.069826593,246.126083,"2016-04-02","f","juvenil",11.72,0
"481",261,738823.541211893,326585.995741324,238.528671,"2016-04-03","f","juvenil",11.72,0
"482",261,738833.828731543,326583.261324795,242.401947,"2016-03-30","f","juvenil",11.72,0
"483",262,738829.627801911,326586.088858154,242.863983,"2016-03-30","m","juvenil",11.41,2.23
"484",263,738815.796735429,326582.651794718,244.182159,"2016-03-30","m","juvenil",13.15,3.81
"485",264,738809.935612971,326587.233519447,244.223373,"2016-03-30","m","juvenil",11.8,2.77
"486",264,738809.633603659,326587.562569858,246.695633,"2016-03-31","m","juvenil",11.8,2.77
"487",264,738813.499581175,326592.070636094,244.384247,"2016-04-01","m","juvenil",11.8,2.77
"488",265,738811.104530406,326588.47485536,245.77652,"2016-03-30","m","juvenil",12.96,3.84
"489",265,738811.969737121,326590.156439077,243.799835,"2016-04-02","m","juvenil",12.96,3.84
"490",265,738811.02350023,326588.918509101,246.851807,"2016-04-03","m","juvenil",12.96,3.84
"491",265,738812.658187888,326588.832290233,242.783905,"2016-04-13","m","juvenil",12.96,3.84
"492",266,738808.69526014,326590.662469492,245.971375,"2016-03-30","m","juvenil",10.85,1.86
"493",267,738810.012630388,326591.906075889,245.908173,"2016-04-01","f","juvenil",11.33,0
"494",267,738810.179793105,326590.685176529,246.141541,"2016-03-30","f","juvenil",11.33,0
"495",268,738792.06449358,326595.52438696,249.331665,"2016-03-30","m","juvenil",12.41,3.6
"496",268,738792.097907807,326598.194257007,248.003082,"2016-03-31","m","juvenil",12.41,3.6
"497",268,738784.0117253,326602.630757508,245.700836,"2016-04-02","m","juvenil",12.41,3.6
"498",268,738788.987194435,326597.701793233,247.66658,"2016-03-31","m","juvenil",12.41,3.6
