"X","ID","sex","B.width","Tusk","days","Age","no.recaptures","tot.dist","max.dist","dist.a.day","rel.bodywidth"
164,429,"f",12.26,0,12,"old",1,8.2396998957169,8.2396998957169,0.686641657976408,0.735628653369657
165,438,"f",11.58,0,5,"juvenil",1,4.99949540943658,4.99949540943658,0.999899081887316,-0.236925772944795
168,449,"f",11.41,0,11,"old",5,58.4335121676041,31.5676228355861,5.31213746978219,-0.480064379523408
169,451,"f",12.63,0,32,"juvenil",11,26.0212708372253,4.19240754123187,0.813164713663291,1.26481267945252
170,452,"f",12.25,0,11,"intermediate",1,1.85707105179364,1.85707105179364,0.168824641072149,0.721326382394445
172,455,"f",12.56,0,5,"juvenil",1,0.813791285849232,0.813791285849232,0.162758257169846,1.16469678262603
175,469,"f",10.65,0,21,"old",1,4.81708635952607,4.81708635952607,0.229385064739337,-1.56703697363956
176,475,"f",11.63,0,12,"juvenil",1,8.10042733417966,8.10042733417966,0.675035611181638,-0.165414418068732
177,478,"f",12.12,0,10,"juvenil",4,29.9828143274816,22.9066870029375,2.99828143274816,0.535396859716681
178,479,"f",11.16,0,3,"juvenil",1,14.8966444459212,14.8966444459212,4.9655481486404,-0.837621153903722
180,483,"f",11.26,0,3,"old",1,3.88972268848188,3.88972268848188,1.29657422949396,-0.694598444151597
182,495,"f",12.32,0,19,"juvenil",1,6.40792882823112,6.40792882823112,0.337259412012164,0.821442279220933
186,511,"f",12.58,0,12,"old",1,4.08384598238879,4.08384598238879,0.340320498532399,1.19330132457646
189,531,"f",12.38,0,1,"old",1,4.07478272356178,4.07478272356178,4.07478272356178,0.907255905072209
190,541,"f",12.3,0,7,"juvenil",1,3.09254975177561,3.09254975177561,0.44179282168223,0.792837737270509
191,557,"f",11.57,0,5,"old",1,33.505264888369,33.505264888369,6.7010529776738,-0.251228043920008
194,567,"f",11.5,0,17,"juvenil",3,53.9068310755394,37.1282482024095,3.17099006326702,-0.351343940746496
195,568,"f",12.5,0,5,"old",2,2.46222788399464,1.31131011412668,0.492445576798928,1.07888315677476
198,574,"f",11,0,7,"juvenil",1,13.0239240679558,13.0239240679558,1.86056058113654,-1.06645748950712
199,578,"f",11.14,0,7,"old",2,5.17428929708491,2.68776603870814,0.739184185297844,-0.866225695854146
200,584,"f",11.59,0,30,"old",1,7.7105601210504,7.7105601210504,0.25701867070168,-0.222623501969583
201,587,"f",12.23,0,15,"juvenil",1,119.691738542676,119.691738542676,7.9794492361784,0.692721840444021
202,598,"f",12.15,0,6,"juvenil",1,11.7731284062646,11.7731284062646,1.96218806771077,0.57830367264232
209,644,"f",10.79,0,35,"old",2,14.1870483733103,8.17632276342712,0.405344239237437,-1.36680517998659
210,645,"f",11.59,0,4,"juvenil",1,4.7688840496685,4.7688840496685,1.19222101241713,-0.222623501969583
211,648,"f",10.15,0,4,"old",1,3.9522927829942,3.9522927829942,0.98807319574855,-2.28215052240019
